ADM3_PCODE,elev_min,elev_max,elev_mean,elev_std,elev_median
NP0105401,139.0,2006.0,686.4020794808276,491.46737797095545,536.0
NP0105402,139.0,2360.0,671.2176453544524,526.7155133382092,474.0
NP0105403,78.0,179.0,110.87776843285674,23.331290953728505,104.0
NP0105404,70.0,110.0,90.500953418687,7.479049949044208,90.0
NP0105405,75.0,110.0,90.68562874251496,6.701487811702498,90.0
NP0105406,66.0,89.0,76.40761194029851,3.9159416204513064,76.0
NP0105407,58.0,78.0,66.5987646695491,3.2190136878409144,67.0
NP0105408,60.0,87.0,71.11955331727611,4.044143432176303,71.0
NP0106201,121.0,1781.0,476.2325859253654,345.5265974755533,318.0
NP0106202,92.0,193.0,120.43462231689332,20.709964167342815,114.0
NP0106301,84.0,859.0,158.63354058721936,137.26725935782835,104.0
NP0106302,85.0,145.0,104.01020237497909,9.069783699724061,102.0
NP0106303,77.0,105.0,89.4418581714173,4.931171148875484,90.0
NP0106304,62.0,106.0,87.05050505050505,6.982804936217961,87.0
NP0106401,73.0,92.0,82.49777643015969,2.793431520647707,82.0
NP0106402,77.0,101.0,84.85691766703043,3.472338034119924,84.0
NP0106403,72.0,106.0,84.96391339214114,6.617753789731515,83.0
NP0106404,69.0,88.0,77.98192771084338,2.816108973126035,78.0
NP0106405,63.0,83.0,73.4783108302212,2.8696978745713064,73.0
NP0106406,63.0,83.0,72.02765486725664,3.169738799629165,72.0
NP0106595,77.0,104.0,90.03541953232462,3.3691233477815383,90.0
NP0107301,239.0,2665.0,1218.1339877010407,581.1260468124058,1150.0
NP0107302,186.0,2143.0,1052.2249336870027,431.845964303179,1054.0
NP0107303,230.0,2178.0,1069.326241624646,428.2271977073741,1038.0
NP0107401,117.0,1647.0,752.4908083993539,367.62500699718396,737.0
NP0107402,291.0,2692.0,1318.3150837988826,502.9759137841164,1300.0
NP0107403,119.0,2030.0,896.273321668662,406.91546354606146,849.0
NP0107404,306.0,2259.0,1170.3516883116883,414.42067008759454,1171.0
NP0108301,568.0,3005.0,1775.4499533858802,503.8881603006263,1793.0
NP0108302,366.0,2891.0,1395.2752440512509,539.8145935665425,1336.0
NP0108401,1093.0,2991.0,2127.1271380324656,402.16235695277487,2134.0
NP0108402,381.0,2661.0,1439.6951901180043,479.2365032214535,1429.0
